full_text,capres
Keputusan untuk menjadikan Pak Anies sebagai calon presiden adalah langkah yang tepat untuk mewujudkan perubahan positif @stellrskies  https://t.co/ApAWHszTKu,anies
"@diandra_sari03 @__AnakKolong @AK__aja @ekokuntadhi1 @gm_gm @islah_bahrawi @hasyimmah @Miduk17 @PreciosaKanti @Gus_Raharjo @sosmedkeras Saatnya Ganjar dan Anies bersatu, bikin perjanjian, siapapun yg tidak lolos putaran 2 harus mendukung satunya, supaya tidak ada politik dinasti...apalagi kl PS nnt sakit/berhalangan, apa indonesia segede ini mau dipimpin oleh org yg baru 2 thn jadi walikota??",anies
@OposisiCerdas Lu boleh ganggu pasangn capres manapun tp pliss jangan coba2 ganggu pasangan ganda campuran idola aing anies amies  amies anies 2028 https://t.co/PemlyETDqS,anies
@Ojoklalenya @BPKPgoid Apakah tugas Jubir @aniesbaswedan adlh utk menyerang calon lain? Apa Anies takut melawan Gibran?,anies
@Geyelicius Ni salah satu contohnya.   Berharap anies kalah si modelan pendukungnya kyk begini kbnykan🤭😹 https://t.co/xdMiBHPZUY,anies
@SoeTjenMarching @GunRomli Kenapa bukan anies?,anies
Pak Anies Baswedan adalah pemimpin yang progresif dan berkomitmen untuk membangun Indonesia yang lebih baik @steewiiiee  https://t.co/OEasr7GnRN,anies
"Pandai menata kata, juga pintar menata kota, buktinya? Banyak penghargaan dan pengakuan dunia 👍  #Anies #Amin #AniesMuhaimin2024 https://t.co/ae46aeoalS",anies
"@DoankWarto coba tanya sama pemerintah pusat, daerah, dan swasta yg nyontek program anies ini realisasinya berapa persen to??? Ganjar malah ga punya gagasan di sini, bisanya cuma pake uang zakat buat renov rumah kader pdip.. wkwkwk 🤭😂🤣",anies
@ferizandra Yang kemarin ribut hanya iri dan dengki dengan hasil karya Anies Baswedan yang keren dan wah,anies
@WinnerWave_ Pipres penuh penghianatan Prabowo menghianati cak imin Anies menghianati AHY  Pilihlah yg bukan penghianat Ganjar mahfud 😎,anies
@0xigen_1st @KaraengPudji @Aryprasetyo85 @007koteka @03__nakula @__AnakKolong @al_lasan @Miduk17 @Marbot_Udien @GunRomli @seruanhl @serakyut Saya uda denger semua capres video wkt ada interview dri universitas sampe yg terakhir buat ganjar di csis soal politik LN dan anies jg yg terakhir.. utk urusan LN bahkan anies masih lebih jelas drpd Ganjar.. itu pendapat saya smtra ini..,anies
Kami percaya bahwa Pak Anies Baswedan akan membawa Indonesia ke masa depan yang lebih adil @stealthesuns  https://t.co/0fdz6uLAoL,anies
@M45Broo Loe Aja Masih Ngomongin Anies Bangkeh...,anies
"@pradipta944 @PartaiSocmed Thats why gue bkin simulasi, klo agus yang lanjut putran kedua. Agus lah yg di dukung kelompok itu.  Pertnyaannya, prabowo di 2019 juga didukung kelompok yang sama, apakah anies yg memilih buat didukung mereka? Apa prbowo yg milih buat didukung mereka? Kayak No.",anies
"@MinmonPS7 buat saya pribadi. Pak Anies cerdas, pintar, santun dan tentunya Agamis, soal belio sungkan sama ke A,B,C itu wajar belio punya moral baik. kalo soal menilai bisa dan tidak nya di setir tunggu aja setelah beliau jadi R1. sabar pilsss🤭🤭🤭🤭",anies
"@Kremata_Channel @WidodoDodo5 @DoankWarto dia ga tau aj, banyak yg terinspirasi dgn program anies.. mulai dari pusat, daerah, sampai swasta.. 😁 https://t.co/O4hNFXoGXb",anies
@mochamadarip Jokowi maupun ganjar cuma petugas partai. Hanya Anies yg otoritas kuat,anies
@jokowi Nyoba nge cek yg komen negatif..36 komen paling atas..dari non pendukung 3 komen..dari pendukung Anies 6 komen..sisanya ganjaris..🤣🤣🤣..mau nerusin capek..udah ketahuan ujungnya,anies
ANIES KURANG APALAGI...  INILAH BENTUK PENGAKUAN JUJUR DENGAN SOSOK ANIES BASWEDAN...‼️  #2024BenamkanGibran #2024BenamkanGibran 🆘🆗,anies
@ernestprakasa Pasti bukan anies ya koh 😁,anies
"Cak imin ini soft landing untuk nasdem &amp  mas anies, sekarang terlihat lebih rileks dr sebelum ada cak imin, cm kadang begitu aja kalau bikin statemen 🤣",anies
@soblah208 @BosPurwa Suruh tanding lari aku yakin anies sama imin pasti kalah habis bawa gentong nasi mereka model bodi bagong tapi king purwo ini matanya katarak,anies
"@Erlanggadian2 @PartaiSocmed Saya rasa anies gak mungkin juga mau pecah belah, tapi pendukung nya, kadang kasihan saja sama nenek di terlantarkan karena memilih ahok, spanduk tidak di shalatkan jenazah yang pilih ahok. Kalau pendukungnya adem gk ngotot bisa bagus anies",anies
"@BosPurwa Manusia baru keluar dari goa,belum pernah lihat mahfud jalan,eh dia itu badannya stabil nggak punya gentong nasi kayak anies dan jalannya cepet,suku madura bos,anies aja kalah dan soal prabowo mulanya cari yang muda itu namanya cerdas beda ama otak kau tumpul",anies
